scope,figure,panel,figure_item,x_column,y_column,pearson_r,spearman_rho,reading_note
Group1,Fig01,A,input acceleration peak,Acceleration_peak_abs_g,IsoDisp_peak_abs_mm,-0.2169464271614014,-0.12727272727272726,Acceleration alone is the baseline motion view.
Group1,Fig01,B,input velocity peak,Velocity_peak_abs_mps,IsoDisp_peak_abs_mm,0.8542677736842568,0.7333333333333332,Velocity is closer to displacement demand than acceleration.
Group1,Fig01,C,input-side QSM Power peak,QSM_PowerFlow_peak_abs_W_per_kg,IsoDisp_peak_abs_mm,0.7572251843808524,0.7939393939393938,Instantaneous QSM Power shows upstream Power shock.
Group1,Fig01,D,input-side QSM Power packet,QSM_PowerFlow_abs_packet_1s_peak_J_per_kg,IsoDisp_peak_abs_mm,0.8399822108208747,0.6242424242424242,The 1s packet reads short-window incoming QSM Power.
Group1,Fig01,E,measured interface Power/Work packet,Interface_power_packet_1s_peak_kJ,IsoDisp_peak_abs_mm,0.9014201378634545,0.9636363636363635,The interface packet is the measured exchange layer.
Group1,Fig01,F,measured accumulated interface Work,Interface_abs_work_kJ,IsoDisp_peak_abs_mm,0.7821649879330418,0.7818181818181817,Accumulated Work is the response-side exchange context.
Group1,Fig02,A/B,QSM Power frequency-group contact map,QSM Power peak frequency [Hz],IsoDisp_peak_abs_mm,,,Frequency-group contact is a relation map. It is not reduced to a score.
